n         n^2       n^3            rad_quad(n)    rad_cub(n)     
852       725904    618470208      29.189         9.4801         
853       727609    620650477      29.2062        9.4838         
854       729316    622835864      29.2233        9.4875         
855       731025    625026375      29.2404        9.4912         
856       732736    627222016      29.2575        9.4949         
857       734449    629422793      29.2746        9.4986         
858       736164    631628712      29.2916        9.5023         
859       737881    633839779      29.3087        9.506          
860       739600    636056000      29.3258        9.5097         
861       741321    638277381      29.3428        9.5134         
862       743044    640503928      29.3598        9.5171         
863       744769    642735647      29.3769        9.5207         
864       746496    644972544      29.3939        9.5244         
865       748225    647214625      29.4109        9.5281         
866       749956    649461896      29.4279        9.5317         
867       751689    651714363      29.4449        9.5354         
868       753424    653972032      29.4618        9.5391         
869       755161    656234909      29.4788        9.5427         
870       756900    658503000      29.4958        9.5464         
871       758641    660776311      29.5127        9.5501         
872       760384    663054848      29.5296        9.5537         
873       762129    665338617      29.5466        9.5574         
874       763876    667627624      29.5635        9.561          
875       765625    669921875      29.5804        9.5647         
876       767376    672221376      29.5973        9.5683         
877       769129    674526133      29.6142        9.5719         
878       770884    676836152      29.6311        9.5756         
879       772641    679151439      29.6479        9.5792         
880       774400    681472000      29.6648        9.5828         
881       776161    683797841      29.6816        9.5865         
882       777924    686128968      29.6985        9.5901         
883       779689    688465387      29.7153        9.5937         
884       781456    690807104      29.7321        9.5973         
885       783225    693154125      29.7489        9.601          
886       784996    695506456      29.7658        9.6046         
887       786769    697864103      29.7825        9.6082         
888       788544    700227072      29.7993        9.6118         
889       790321    702595369      29.8161        9.6154         
890       792100    704969000      29.8329        9.619          
891       793881    707347971      29.8496        9.6226         
892       795664    709732288      29.8664        9.6262         
893       797449    712121957      29.8831        9.6298         
894       799236    714516984      29.8998        9.6334         
895       801025    716917375      29.9166        9.637          
896       802816    719323136      29.9333        9.6406         
897       804609    721734273      29.95          9.6442         
898       806404    724150792      29.9666        9.6477         
899       808201    726572699      29.9833        9.6513         
900       810000    729000000      30.0           9.6549         
901       811801    731432701      30.0167        9.6585         
902       813604    733870808      30.0333        9.662          
903       815409    736314327      30.05          9.6656         
904       817216    738763264      30.0666        9.6692         
905       819025    741217625      30.0832        9.6727         
906       820836    743677416      30.0998        9.6763         
907       822649    746142643      30.1164        9.6799         
908       824464    748613312      30.133         9.6834         
909       826281    751089429      30.1496        9.687          
910       828100    753571000      30.1662        9.6905         
911       829921    756058031      30.1828        9.6941         
912       831744    758550528      30.1993        9.6976         
913       833569    761048497      30.2159        9.7012         
914       835396    763551944      30.2324        9.7047         
915       837225    766060875      30.249         9.7082         
916       839056    768575296      30.2655        9.7118         
917       840889    771095213      30.282         9.7153         
918       842724    773620632      30.2985        9.7188         
919       844561    776151559      30.315         9.7224         
920       846400    778688000      30.3315        9.7259         
921       848241    781229961      30.348         9.7294         
922       850084    783777448      30.3645        9.7329         
923       851929    786330467      30.3809        9.7364         
924       853776    788889024      30.3974        9.74           
925       855625    791453125      30.4138        9.7435         
926       857476    794022776      30.4302        9.747          
927       859329    796597983      30.4467        9.7505         
928       861184    799178752      30.4631        9.754          
929       863041    801765089      30.4795        9.7575         
930       864900    804357000      30.4959        9.761          
931       866761    806954491      30.5123        9.7645         
932       868624    809557568      30.5287        9.768          
933       870489    812166237      30.545         9.7715         
934       872356    814780504      30.5614        9.775          
935       874225    817400375      30.5778        9.7785         
936       876096    820025856      30.5941        9.7819         
937       877969    822656953      30.6105        9.7854         
938       879844    825293672      30.6268        9.7889         
939       881721    827936019      30.6431        9.7924         
940       883600    830584000      30.6594        9.7959         
941       885481    833237621      30.6757        9.7993         
942       887364    835896888      30.692         9.8028         
943       889249    838561807      30.7083        9.8063         
944       891136    841232384      30.7246        9.8097         
945       893025    843908625      30.7409        9.8132         
946       894916    846590536      30.7571        9.8167         
947       896809    849278123      30.7734        9.8201         
948       898704    851971392      30.7896        9.8236         
949       900601    854670349      30.8058        9.827          
950       902500    857375000      30.8221        9.8305         
951       904401    860085351      30.8383        9.8339         
952       906304    862801408      30.8545        9.8374         
953       908209    865523177      30.8707        9.8408         
954       910116    868250664      30.8869        9.8443         
955       912025    870983875      30.9031        9.8477         
956       913936    873722816      30.9192        9.8511         
957       915849    876467493      30.9354        9.8546         
958       917764    879217912      30.9516        9.858          
959       919681    881974079      30.9677        9.8614         
960       921600    884736000      30.9839        9.8648         
961       923521    887503681      31.0           9.8683         
962       925444    890277128      31.0161        9.8717         
963       927369    893056347      31.0322        9.8751         
964       929296    895841344      31.0483        9.8785         
965       931225    898632125      31.0644        9.8819         
966       933156    901428696      31.0805        9.8854         
967       935089    904231063      31.0966        9.8888         
968       937024    907039232      31.1127        9.8922         
969       938961    909853209      31.1288        9.8956         
970       940900    912673000      31.1448        9.899          
971       942841    915498611      31.1609        9.9024         
972       944784    918330048      31.1769        9.9058         
973       946729    921167317      31.1929        9.9092         
974       948676    924010424      31.209         9.9126         
975       950625    926859375      31.225         9.916          
976       952576    929714176      31.241         9.9194         
977       954529    932574833      31.257         9.9227         
978       956484    935441352      31.273         9.9261         
979       958441    938313739      31.289         9.9295         
980       960400    941192000      31.305         9.9329         
981       962361    944076141      31.3209        9.9363         
982       964324    946966168      31.3369        9.9396         
983       966289    949862087      31.3528        9.943          
984       968256    952763904      31.3688        9.9464         
985       970225    955671625      31.3847        9.9497         
986       972196    958585256      31.4006        9.9531         
987       974169    961504803      31.4166        9.9565         
988       976144    964430272      31.4325        9.9598         
989       978121    967361669      31.4484        9.9632         
990       980100    970299000      31.4643        9.9666         
991       982081    973242271      31.4802        9.9699         
992       984064    976191488      31.496         9.9733         
993       986049    979146657      31.5119        9.9766         
994       988036    982107784      31.5278        9.98           
995       990025    985074875      31.5436        9.9833         
996       992016    988047936      31.5595        9.9866         
997       994009    991026973      31.5753        9.99           
998       996004    994011992      31.5911        9.9933         
999       998001    997002999      31.607         9.9967         
1000      1000000   1000000000     31.6228        10.0           
1001      1002001   1003003001     31.6386        10.0033        
1002      1004004   1006012008     31.6544        10.0067        
1003      1006009   1009027027     31.6702        10.01          
1004      1008016   1012048064     31.686         10.0133        
1005      1010025   1015075125     31.7017        10.0166        
1006      1012036   1018108216     31.7175        10.02          
1007      1014049   1021147343     31.7333        10.0233        
1008      1016064   1024192512     31.749         10.0266        
1009      1018081   1027243729     31.7648        10.0299        
1010      1020100   1030301000     31.7805        10.0332        
1011      1022121   1033364331     31.7962        10.0365        
1012      1024144   1036433728     31.8119        10.0398        
1013      1026169   1039509197     31.8277        10.0431        
1014      1028196   1042590744     31.8434        10.0465        
1015      1030225   1045678375     31.8591        10.0498        
1016      1032256   1048772096     31.8748        10.0531        
1017      1034289   1051871913     31.8904        10.0563        
1018      1036324   1054977832     31.9061        10.0596        
1019      1038361   1058089859     31.9218        10.0629        
1020      1040400   1061208000     31.9374        10.0662        
1021      1042441   1064332261     31.9531        10.0695        
1022      1044484   1067462648     31.9687        10.0728        
1023      1046529   1070599167     31.9844        10.0761        
1024      1048576   1073741824     32.0           10.0794        
1025      1050625   1076890625     32.0156        10.0826        
1026      1052676   1080045576     32.0312        10.0859        
1027      1054729   1083206683     32.0468        10.0892        
1028      1056784   1086373952     32.0624        10.0925        
1029      1058841   1089547389     32.078         10.0957        
1030      1060900   1092727000     32.0936        10.099         
1031      1062961   1095912791     32.1092        10.1023        
1032      1065024   1099104768     32.1248        10.1055        
1033      1067089   1102302937     32.1403        10.1088        
1034      1069156   1105507304     32.1559        10.1121        
1035      1071225   1108717875     32.1714        10.1153        
1036      1073296   1111934656     32.187         10.1186        
1037      1075369   1115157653     32.2025        10.1218        
1038      1077444   1118386872     32.218         10.1251        
1039      1079521   1121622319     32.2335        10.1283        
1040      1081600   1124864000     32.249         10.1316        
1041      1083681   1128111921     32.2645        10.1348        
1042      1085764   1131366088     32.28          10.1381        
1043      1087849   1134626507     32.2955        10.1413        
1044      1089936   1137893184     32.311         10.1446        
1045      1092025   1141166125     32.3265        10.1478        
1046      1094116   1144445336     32.3419        10.151         
1047      1096209   1147730823     32.3574        10.1543        
1048      1098304   1151022592     32.3728        10.1575        
1049      1100401   1154320649     32.3883        10.1607        
1050      1102500   1157625000     32.4037        10.164         
1051      1104601   1160935651     32.4191        10.1672        
1052      1106704   1164252608     32.4345        10.1704        
1053      1108809   1167575877     32.45          10.1736        
1054      1110916   1170905464     32.4654        10.1769        
1055      1113025   1174241375     32.4808        10.1801        
1056      1115136   1177583616     32.4962        10.1833        
1057      1117249   1180932193     32.5115        10.1865        
1058      1119364   1184287112     32.5269        10.1897        
1059      1121481   1187648379     32.5423        10.1929        
1060      1123600   1191016000     32.5576        10.1961        
1061      1125721   1194389981     32.573         10.1993        
1062      1127844   1197770328     32.5883        10.2025        
1063      1129969   1201157047     32.6037        10.2057        
1064      1132096   1204550144     32.619         10.2089        
1065      1134225   1207949625     32.6343        10.2121        
1066      1136356   1211355496     32.6497        10.2153        
1067      1138489   1214767763     32.665         10.2185        
1068      1140624   1218186432     32.6803        10.2217        
1069      1142761   1221611509     32.6956        10.2249        
1070      1144900   1225043000     32.7109        10.2281        
1071      1147041   1228480911     32.7261        10.2313        
1072      1149184   1231925248     32.7414        10.2345        
1073      1151329   1235376017     32.7567        10.2376        
1074      1153476   1238833224     32.7719        10.2408        
1075      1155625   1242296875     32.7872        10.244         
1076      1157776   1245766976     32.8024        10.2472        
1077      1159929   1249243533     32.8177        10.2503        
1078      1162084   1252726552     32.8329        10.2535        
1079      1164241   1256216039     32.8481        10.2567        
1080      1166400   1259712000     32.8634        10.2599        
1081      1168561   1263214441     32.8786        10.263         
1082      1170724   1266723368     32.8938        10.2662        
1083      1172889   1270238787     32.909         10.2693        
1084      1175056   1273760704     32.9242        10.2725        
1085      1177225   1277289125     32.9393        10.2757        
1086      1179396   1280824056     32.9545        10.2788        
1087      1181569   1284365503     32.9697        10.282         
1088      1183744   1287913472     32.9848        10.2851        
1089      1185921   1291467969     33.0           10.2883        
1090      1188100   1295029000     33.0151        10.2914        
1091      1190281   1298596571     33.0303        10.2946        
1092      1192464   1302170688     33.0454        10.2977        
1093      1194649   1305751357     33.0606        10.3009        
1094      1196836   1309338584     33.0757        10.304         
1095      1199025   1312932375     33.0908        10.3071        
1096      1201216   1316532736     33.1059        10.3103        
1097      1203409   1320139673     33.121         10.3134        
1098      1205604   1323753192     33.1361        10.3165        
1099      1207801   1327373299     33.1512        10.3197        
1100      1210000   1331000000     33.1662        10.3228        
1101      1212201   1334633301     33.1813        10.3259        
1102      1214404   1338273208     33.1964        10.3291        
1103      1216609   1341919727     33.2114        10.3322        
1104      1218816   1345572864     33.2265        10.3353        
1105      1221025   1349232625     33.2415        10.3384        
1106      1223236   1352899016     33.2566        10.3415        
1107      1225449   1356572043     33.2716        10.3447        
1108      1227664   1360251712     33.2866        10.3478        
1109      1229881   1363938029     33.3017        10.3509        
1110      1232100   1367631000     33.3167        10.354         
1111      1234321   1371330631     33.3317        10.3571        
1112      1236544   1375036928     33.3467        10.3602        
1113      1238769   1378749897     33.3617        10.3633        
1114      1240996   1382469544     33.3766        10.3664        
1115      1243225   1386195875     33.3916        10.3695        
1116      1245456   1389928896     33.4066        10.3726        
1117      1247689   1393668613     33.4215        10.3757        
1118      1249924   1397415032     33.4365        10.3788        
1119      1252161   1401168159     33.4515        10.3819        
1120      1254400   1404928000     33.4664        10.385         
1121      1256641   1408694561     33.4813        10.3881        
1122      1258884   1412467848     33.4963        10.3912        
1123      1261129   1416247867     33.5112        10.3943        
1124      1263376   1420034624     33.5261        10.3973        
1125      1265625   1423828125     33.541         10.4004        
1126      1267876   1427628376     33.5559        10.4035        
1127      1270129   1431435383     33.5708        10.4066        
1128      1272384   1435249152     33.5857        10.4097        
1129      1274641   1439069689     33.6006        10.4127        
1130      1276900   1442897000     33.6155        10.4158        
1131      1279161   1446731091     33.6303        10.4189        
1132      1281424   1450571968     33.6452        10.4219        
1133      1283689   1454419637     33.6601        10.425         
1134      1285956   1458274104     33.6749        10.4281        
1135      1288225   1462135375     33.6898        10.4311        
1136      1290496   1466003456     33.7046        10.4342        
1137      1292769   1469878353     33.7194        10.4373        
1138      1295044   1473760072     33.7343        10.4403        
1139      1297321   1477648619     33.7491        10.4434        
1140      1299600   1481544000     33.7639        10.4464        
1141      1301881   1485446221     33.7787        10.4495        
1142      1304164   1489355288     33.7935        10.4525        
1143      1306449   1493271207     33.8083        10.4556        
1144      1308736   1497193984     33.8231        10.4586        
1145      1311025   1501123625     33.8378        10.4617        
1146      1313316   1505060136     33.8526        10.4647        
1147      1315609   1509003523     33.8674        10.4678        
1148      1317904   1512953792     33.8821        10.4708        
1149      1320201   1516910949     33.8969        10.4739        
1150      1322500   1520875000     33.9116        10.4769        
1151      1324801   1524845951     33.9264        10.4799        
1152      1327104   1528823808     33.9411        10.483         
1153      1329409   1532808577     33.9559        10.486         
1154      1331716   1536800264     33.9706        10.489         
1155      1334025   1540798875     33.9853        10.4921        
1156      1336336   1544804416     34.0           10.4951        
1157      1338649   1548816893     34.0147        10.4981        
1158      1340964   1552836312     34.0294        10.5011        
1159      1343281   1556862679     34.0441        10.5042        
1160      1345600   1560896000     34.0588        10.5072        
1161      1347921   1564936281     34.0735        10.5102        
1162      1350244   1568983528     34.0881        10.5132        
1163      1352569   1573037747     34.1028        10.5162        
1164      1354896   1577098944     34.1174        10.5192        
1165      1357225   1581167125     34.1321        10.5223        
1166      1359556   1585242296     34.1467        10.5253        
1167      1361889   1589324463     34.1614        10.5283        
1168      1364224   1593413632     34.176         10.5313        
1169      1366561   1597509809     34.1906        10.5343        
1170      1368900   1601613000     34.2053        10.5373        
1171      1371241   1605723211     34.2199        10.5403        
1172      1373584   1609840448     34.2345        10.5433        
1173      1375929   1613964717     34.2491        10.5463        
1174      1378276   1618096024     34.2637        10.5493        
1175      1380625   1622234375     34.2783        10.5523        
1176      1382976   1626379776     34.2929        10.5553        
1177      1385329   1630532233     34.3074        10.5583        
1178      1387684   1634691752     34.322         10.5612        
1179      1390041   1638858339     34.3366        10.5642        
1180      1392400   1643032000     34.3511        10.5672        
1181      1394761   1647212741     34.3657        10.5702        
1182      1397124   1651400568     34.3802        10.5732        
1183      1399489   1655595487     34.3948        10.5762        
1184      1401856   1659797504     34.4093        10.5791        
1185      1404225   1664006625     34.4238        10.5821        
1186      1406596   1668222856     34.4384        10.5851        
1187      1408969   1672446203     34.4529        10.5881        
1188      1411344   1676676672     34.4674        10.591         
1189      1413721   1680914269     34.4819        10.594         
1190      1416100   1685159000     34.4964        10.597         
1191      1418481   1689410871     34.5109        10.6           
1192      1420864   1693669888     34.5254        10.6029        
1193      1423249   1697936057     34.5398        10.6059        
1194      1425636   1702209384     34.5543        10.6088        
1195      1428025   1706489875     34.5688        10.6118        
1196      1430416   1710777536     34.5832        10.6148        
1197      1432809   1715072373     34.5977        10.6177        
1198      1435204   1719374392     34.6121        10.6207        
1199      1437601   1723683599     34.6266        10.6236        
1200      1440000   1728000000     34.641         10.6266        
1201      1442401   1732323601     34.6554        10.6295        
1202      1444804   1736654408     34.6699        10.6325        
1203      1447209   1740992427     34.6843        10.6354        
1204      1449616   1745337664     34.6987        10.6384        
1205      1452025   1749690125     34.7131        10.6413        
1206      1454436   1754049816     34.7275        10.6443        
1207      1456849   1758416743     34.7419        10.6472        
1208      1459264   1762790912     34.7563        10.6501        
1209      1461681   1767172329     34.7707        10.6531        
1210      1464100   1771561000     34.7851        10.656         
1211      1466521   1775956931     34.7994        10.659         
1212      1468944   1780360128     34.8138        10.6619        
1213      1471369   1784770597     34.8281        10.6648        
1214      1473796   1789188344     34.8425        10.6678        
1215      1476225   1793613375     34.8569        10.6707        
1216      1478656   1798045696     34.8712        10.6736        
1217      1481089   1802485313     34.8855        10.6765        
1218      1483524   1806932232     34.8999        10.6795        
1219      1485961   1811386459     34.9142        10.6824        
1220      1488400   1815848000     34.9285        10.6853        
1221      1490841   1820316861     34.9428        10.6882        
1222      1493284   1824793048     34.9571        10.6911        
1223      1495729   1829276567     34.9714        10.694         
1224      1498176   1833767424     34.9857        10.697         
1225      1500625   1838265625     35.0           10.6999        
1226      1503076   1842771176     35.0143        10.7028        
1227      1505529   1847284083     35.0286        10.7057        
1228      1507984   1851804352     35.0428        10.7086        
1229      1510441   1856331989     35.0571        10.7115        
1230      1512900   1860867000     35.0714        10.7144        
1231      1515361   1865409391     35.0856        10.7173        
1232      1517824   1869959168     35.0999        10.7202        
1233      1520289   1874516337     35.1141        10.7231        
1234      1522756   1879080904     35.1283        10.726         
1235      1525225   1883652875     35.1426        10.7289        
1236      1527696   1888232256     35.1568        10.7318        
1237      1530169   1892819053     35.171         10.7347        
1238      1532644   1897413272     35.1852        10.7376        
1239      1535121   1902014919     35.1994        10.7405        
1240      1537600   1906624000     35.2136        10.7434        
1241      1540081   1911240521     35.2278        10.7463        
1242      1542564   1915864488     35.242         10.7491        
1243      1545049   1920495907     35.2562        10.752         
1244      1547536   1925134784     35.2704        10.7549        
1245      1550025   1929781125     35.2846        10.7578        
1246      1552516   1934434936     35.2987        10.7607        
1247      1555009   1939096223     35.3129        10.7635        
1248      1557504   1943764992     35.327         10.7664        
1249      1560001   1948441249     35.3412        10.7693        
1250      1562500   1953125000     35.3553        10.7722        
1251      1565001   1957816251     35.3695        10.775         
1252      1567504   1962515008     35.3836        10.7779        
1253      1570009   1967221277     35.3977        10.7808        
1254      1572516   1971935064     35.4119        10.7837        
1255      1575025   1976656375     35.426         10.7865        
1256      1577536   1981385216     35.4401        10.7894        
1257      1580049   1986121593     35.4542        10.7922        
1258      1582564   1990865512     35.4683        10.7951        
1259      1585081   1995616979     35.4824        10.798         
1260      1587600   2000376000     35.4965        10.8008        
1261      1590121   2005142581     35.5106        10.8037        
1262      1592644   2009916728     35.5246        10.8065        
1263      1595169   2014698447     35.5387        10.8094        
1264      1597696   2019487744     35.5528        10.8122        
1265      1600225   2024284625     35.5668        10.8151        
1266      1602756   2029089096     35.5809        10.8179        
1267      1605289   2033901163     35.5949        10.8208        
1268      1607824   2038720832     35.609         10.8236        
1269      1610361   2043548109     35.623         10.8265        
1270      1612900   2048383000     35.6371        10.8293        
1271      1615441   2053225511     35.6511        10.8322        
1272      1617984   2058075648     35.6651        10.835         
1273      1620529   2062933417     35.6791        10.8378        
1274      1623076   2067798824     35.6931        10.8407        
1275      1625625   2072671875     35.7071        10.8435        
1276      1628176   2077552576     35.7211        10.8463        
1277      1630729   2082440933     35.7351        10.8492        
1278      1633284   2087336952     35.7491        10.852         
1279      1635841   2092240639     35.7631        10.8548        
1280      1638400   2097152000     35.7771        10.8577        
1281      1640961   2102071041     35.7911        10.8605        
1282      1643524   2106997768     35.805         10.8633        
1283      1646089   2111932187     35.819         10.8661        
1284      1648656   2116874304     35.8329        10.869         
1285      1651225   2121824125     35.8469        10.8718        
1286      1653796   2126781656     35.8608        10.8746        
1287      1656369   2131746903     35.8748        10.8774        
1288      1658944   2136719872     35.8887        10.8802        
1289      1661521   2141700569     35.9026        10.8831        
1290      1664100   2146689000     35.9166        10.8859        
1291      1666681   2151685171     35.9305        10.8887        
1292      1669264   2156689088     35.9444        10.8915        
1293      1671849   2161700757     35.9583        10.8943        
1294      1674436   2166720184     35.9722        10.8971        
1295      1677025   2171747375     35.9861        10.8999        
1296      1679616   2176782336     36.0           10.9027        
1297      1682209   2181825073     36.0139        10.9055        
1298      1684804   2186875592     36.0278        10.9083        
1299      1687401   2191933899     36.0416        10.9111        
1300      1690000   2197000000     36.0555        10.9139        
1301      1692601   2202073901     36.0694        10.9167        
1302      1695204   2207155608     36.0832        10.9195        
1303      1697809   2212245127     36.0971        10.9223        
1304      1700416   2217342464     36.1109        10.9251        
1305      1703025   2222447625     36.1248        10.9279        
1306      1705636   2227560616     36.1386        10.9307        
1307      1708249   2232681443     36.1525        10.9335        
1308      1710864   2237810112     36.1663        10.9363        
1309      1713481   2242946629     36.1801        10.9391        
1310      1716100   2248091000     36.1939        10.9418        
1311      1718721   2253243231     36.2077        10.9446        
1312      1721344   2258403328     36.2215        10.9474        
1313      1723969   2263571297     36.2353        10.9502        
1314      1726596   2268747144     36.2491        10.953         
1315      1729225   2273930875     36.2629        10.9557        
1316      1731856   2279122496     36.2767        10.9585        
1317      1734489   2284322013     36.2905        10.9613        
1318      1737124   2289529432     36.3043        10.9641        
1319      1739761   2294744759     36.318         10.9668        
1320      1742400   2299968000     36.3318        10.9696        
1321      1745041   2305199161     36.3456        10.9724        
1322      1747684   2310438248     36.3593        10.9752        
1323      1750329   2315685267     36.3731        10.9779        
1324      1752976   2320940224     36.3868        10.9807        
1325      1755625   2326203125     36.4005        10.9834        
1326      1758276   2331473976     36.4143        10.9862        
1327      1760929   2336752783     36.428         10.989         
1328      1763584   2342039552     36.4417        10.9917        
1329      1766241   2347334289     36.4555        10.9945        
1330      1768900   2352637000     36.4692        10.9972        
1331      1771561   2357947691     36.4829        11.0           
1332      1774224   2363266368     36.4966        11.0028        
1333      1776889   2368593037     36.5103        11.0055        
1334      1779556   2373927704     36.524         11.0083        
1335      1782225   2379270375     36.5377        11.011         
1336      1784896   2384621056     36.5513        11.0138        
1337      1787569   2389979753     36.565         11.0165        
1338      1790244   2395346472     36.5787        11.0193        
1339      1792921   2400721219     36.5923        11.022         
1340      1795600   2406104000     36.606         11.0247        
1341      1798281   2411494821     36.6197        11.0275        
1342      1800964   2416893688     36.6333        11.0302        
1343      1803649   2422300607     36.647         11.033         
1344      1806336   2427715584     36.6606        11.0357        
1345      1809025   2433138625     36.6742        11.0384        
1346      1811716   2438569736     36.6879        11.0412        
1347      1814409   2444008923     36.7015        11.0439        
1348      1817104   2449456192     36.7151        11.0466        
1349      1819801   2454911549     36.7287        11.0494        
1350      1822500   2460375000     36.7423        11.0521        
1351      1825201   2465846551     36.756         11.0548        
1352      1827904   2471326208     36.7696        11.0575        
1353      1830609   2476813977     36.7831        11.0603        
1354      1833316   2482309864     36.7967        11.063         
1355      1836025   2487813875     36.8103        11.0657        
1356      1838736   2493326016     36.8239        11.0684        
1357      1841449   2498846293     36.8375        11.0712        
1358      1844164   2504374712     36.8511        11.0739        
1359      1846881   2509911279     36.8646        11.0766        
1360      1849600   2515456000     36.8782        11.0793        
1361      1852321   2521008881     36.8917        11.082         
1362      1855044   2526569928     36.9053        11.0847        
1363      1857769   2532139147     36.9188        11.0875        
1364      1860496   2537716544     36.9324        11.0902        
1365      1863225   2543302125     36.9459        11.0929        
1366      1865956   2548895896     36.9594        11.0956        
1367      1868689   2554497863     36.973         11.0983        
1368      1871424   2560108032     36.9865        11.101         
1369      1874161   2565726409     37.0           11.1037        
1370      1876900   2571353000     37.0135        11.1064        
1371      1879641   2576987811     37.027         11.1091        
1372      1882384   2582630848     37.0405        11.1118        
1373      1885129   2588282117     37.054         11.1145        
1374      1887876   2593941624     37.0675        11.1172        
1375      1890625   2599609375     37.081         11.1199        
1376      1893376   2605285376     37.0945        11.1226        
1377      1896129   2610969633     37.108         11.1253        
1378      1898884   2616662152     37.1214        11.128         
1379      1901641   2622362939     37.1349        11.1307        
1380      1904400   2628072000     37.1484        11.1334        
1381      1907161   2633789341     37.1618        11.1361        
1382      1909924   2639514968     37.1753        11.1387        
1383      1912689   2645248887     37.1887        11.1414        
1384      1915456   2650991104     37.2022        11.1441        
1385      1918225   2656741625     37.2156        11.1468        
1386      1920996   2662500456     37.229         11.1495        
1387      1923769   2668267603     37.2424        11.1522        
1388      1926544   2674043072     37.2559        11.1548        
1389      1929321   2679826869     37.2693        11.1575        
1390      1932100   2685619000     37.2827        11.1602        
1391      1934881   2691419471     37.2961        11.1629        
1392      1937664   2697228288     37.3095        11.1655        
1393      1940449   2703045457     37.3229        11.1682        
1394      1943236   2708870984     37.3363        11.1709        
1395      1946025   2714704875     37.3497        11.1736        
1396      1948816   2720547136     37.3631        11.1762        
1397      1951609   2726397773     37.3765        11.1789        
1398      1954404   2732256792     37.3898        11.1816        
1399      1957201   2738124199     37.4032        11.1842        
1400      1960000   2744000000     37.4166        11.1869        
1401      1962801   2749884201     37.4299        11.1896        
1402      1965604   2755776808     37.4433        11.1922        
1403      1968409   2761677827     37.4566        11.1949        
1404      1971216   2767587264     37.47          11.1975        
1405      1974025   2773505125     37.4833        11.2002        
1406      1976836   2779431416     37.4967        11.2028        
1407      1979649   2785366143     37.51          11.2055        
1408      1982464   2791309312     37.5233        11.2082        
1409      1985281   2797260929     37.5366        11.2108        
1410      1988100   2803221000     37.55          11.2135        
1411      1990921   2809189531     37.5633        11.2161        
1412      1993744   2815166528     37.5766        11.2188        
1413      1996569   2821151997     37.5899        11.2214        
1414      1999396   2827145944     37.6032        11.2241        
1415      2002225   2833148375     37.6165        11.2267        
1416      2005056   2839159296     37.6298        11.2293        
1417      2007889   2845178713     37.6431        11.232         
1418      2010724   2851206632     37.6563        11.2346        
1419      2013561   2857243059     37.6696        11.2373        
1420      2016400   2863288000     37.6829        11.2399        
1421      2019241   2869341461     37.6962        11.2425        
1422      2022084   2875403448     37.7094        11.2452        
1423      2024929   2881473967     37.7227        11.2478        
1424      2027776   2887553024     37.7359        11.2505        
1425      2030625   2893640625     37.7492        11.2531        
1426      2033476   2899736776     37.7624        11.2557        
1427      2036329   2905841483     37.7757        11.2583        
1428      2039184   2911954752     37.7889        11.261         
1429      2042041   2918076589     37.8021        11.2636        
1430      2044900   2924207000     37.8153        11.2662        
1431      2047761   2930345991     37.8286        11.2689        
1432      2050624   2936493568     37.8418        11.2715        
1433      2053489   2942649737     37.855         11.2741        
1434      2056356   2948814504     37.8682        11.2767        
1435      2059225   2954987875     37.8814        11.2793        
1436      2062096   2961169856     37.8946        11.282         
1437      2064969   2967360453     37.9078        11.2846        
1438      2067844   2973559672     37.921         11.2872        
1439      2070721   2979767519     37.9342        11.2898        
1440      2073600   2985984000     37.9473        11.2924        
1441      2076481   2992209121     37.9605        11.295         
1442      2079364   2998442888     37.9737        11.2977        
1443      2082249   3004685307     37.9868        11.3003        
1444      2085136   3010936384     38.0           11.3029        
1445      2088025   3017196125     38.0132        11.3055        
1446      2090916   3023464536     38.0263        11.3081        
1447      2093809   3029741623     38.0395        11.3107        
1448      2096704   3036027392     38.0526        11.3133        
1449      2099601   3042321849     38.0657        11.3159        
1450      2102500   3048625000     38.0789        11.3185        
1451      2105401   3054936851     38.092         11.3211        
1452      2108304   3061257408     38.1051        11.3237        
1453      2111209   3067586677     38.1182        11.3263        
1454      2114116   3073924664     38.1314        11.3289        
1455      2117025   3080271375     38.1445        11.3315        
1456      2119936   3086626816     38.1576        11.3341        
1457      2122849   3092990993     38.1707        11.3367        
1458      2125764   3099363912     38.1838        11.3393        
1459      2128681   3105745579     38.1969        11.3419        
1460      2131600   3112136000     38.2099        11.3445        
1461      2134521   3118535181     38.223         11.3471        
1462      2137444   3124943128     38.2361        11.3496        
1463      2140369   3131359847     38.2492        11.3522        
1464      2143296   3137785344     38.2623        11.3548        
1465      2146225   3144219625     38.2753        11.3574        
1466      2149156   3150662696     38.2884        11.36          
1467      2152089   3157114563     38.3014        11.3626        
1468      2155024   3163575232     38.3145        11.3652        
1469      2157961   3170044709     38.3275        11.3677        
1470      2160900   3176523000     38.3406        11.3703        
1471      2163841   3183010111     38.3536        11.3729        
1472      2166784   3189506048     38.3667        11.3755        
1473      2169729   3196010817     38.3797        11.378         
1474      2172676   3202524424     38.3927        11.3806        
1475      2175625   3209046875     38.4057        11.3832        
1476      2178576   3215578176     38.4187        11.3858        
1477      2181529   3222118333     38.4318        11.3883        
1478      2184484   3228667352     38.4448        11.3909        
1479      2187441   3235225239     38.4578        11.3935        
1480      2190400   3241792000     38.4708        11.396         
1481      2193361   3248367641     38.4838        11.3986        
1482      2196324   3254952168     38.4968        11.4012        
1483      2199289   3261545587     38.5097        11.4037        
